Death Of YOLO (Feat. Smoke Dza) [Prod. By Bruce Leekix] | Summer Knights | Joey Bada$$ | N/A | 2013

Paper Trails | Psychic | Darkside | Darkside | 2013

Hey, Doreen | Wildewoman | Lucius | Lucius | 2013

Should I Stay or Should I go | Combat Rock | The Clash | N/A | 1982

Rock The Casbah | Combat Rock | The Clash | N/A | 1982

Straight To Hell | Combat Rock | The Clash | N/A | 1982

California Love (feat. Dr. Dre) | Greatest Hits | 2Pac | 2Pac | 2008

The Boogie That Be | N/A | Black Eyed Peas | Black Eyed Peas | 2013

Intergalactic | Solid Gold Hits | Beastie Boys | Beastie Boys | 2011

Man of the Year | Oxymoron (Deluxe Version) | ScHoolboy Q | ScHoolboy Q | 2014

Black Out Days | Voices | Phantogram | Phantogram | 2014

Howling At The Moon | Voices | Phantogram | Phantogram | 2014

Leisure Suit Preben | It's Album Time | Todd Terje | Todd Terje | 2014

Delorean Dynamite | It's Album Time | Todd Terje | Todd Terje | 2014

Gin and Juice | Doggystyle | Snoop Dogg | Snoop Dogg | 2009

Knock Knock Knock | They Want My Soul | Spoon | Spoon | 2014

They Want My Soul | They Want My Soul | Spoon | Spoon | 2014

I Just Don't Understand | They Want My Soul | Spoon | Spoon | 2014

Never Catch Me (feat. Kendrick Lamar) | You're Dead! | Flying Lotus | Flying Lotus | 2014

Dead Man's Tetris (feat. Captain Murphy & Snoop Dogg) | You're Dead! | Flying Lotus | Flying Lotus | 2014

Space Is Only Noise If You Can See | Space Is Only Noise | Nicolas Jaar | Nicolas Jaar | 2010

What More Can I Say | The Grey Album | Danger Mouse | N/A | 2012

December 4th | The Grey Album | Danger Mouse | N/A | 2012

ブート | FLORAL SHOPPE | MACINTOSH PLUS | MACINTOSH PLUS | 2011

リサフランク420 / 現代のコンピュー | FLORAL SHOPPE | MACINTOSH PLUS | MACINTOSH PLUS | 2011

Desperado | Broke With Expensive Taste | Azealia Banks | Azealia Banks | 2014

Thug Cry (Tinashe Mix) (Prod by Mike Will) (DatPiff Exclusive) | Ferg Forever | A$AP Ferg | A$AP Ferg | 2015

Commitment Issues (Prod by Childish Major) (DatPiff Exclusive) | Ferg Forever | A$AP Ferg | A$AP Ferg | 2015

Real Thing ft. SZA (Prod by Stelios Phili) (DatPiff Exclusive) | Ferg Forever | A$AP Ferg | A$AP Ferg | 2015

0 To 100 The Catch Up | 0 To 100 / The Catch Up | Drake | Drake | 2014

Jeopardy | Run The Jewels 2 | Run The Jewels (Killer Mike & El-P) | Run The Jewels (Killer Mike & El-P) | 2014

Oh My Darling Don't Cry | Run The Jewels 2 | Run The Jewels (Killer Mike & El-P) | Run The Jewels (Killer Mike & El-P) | 2014

Blockbuster Night Part 1 | Run The Jewels 2 | Run The Jewels (Killer Mike & El-P) | Run The Jewels (Killer Mike & El-P) | 2014

Close Your Eyes (And Count To Fuck) Feat. Zach De La Rocha | Run The Jewels 2 | Run The Jewels (Killer Mike & El-P) | Run The Jewels (Killer Mike & El-P) | 2014

All My Life | Run The Jewels 2 | Run The Jewels (Killer Mike & El-P) | Run The Jewels (Killer Mike & El-P) | 2014

Lie Cheat Steal | Run The Jewels 2 | Run The Jewels (Killer Mike & El-P) | Run The Jewels (Killer Mike & El-P) | 2014

A Christmas Fucking Miracle | Run The Jewels | El-P & Killer Mike | El-P & Killer Mike | 2013

Kendrick Lamar's Interlude (feat. Kendrick Lamar) | These Days... | Ab-Soul | Ab-Soul | 2014

10 Bands | If You're Reading This It's Too Late | Drake | Drake | 2015

Used To (feat. Lil Wayne) | If You're Reading This It's Too Late | Drake | Drake | 2015

W/S Foe Life | Mack 10 Foe Life: The Best of Mack 10 | Mack 10 | Mack 10 | 1997

Hacker | The Money Store | Death Grips | N/A | 2012

On & On & On | Even In Darkness | Dungeon Family | N/A | 2001

6 Minutes (Dungeon Family It's On) | Even In Darkness | Dungeon Family | N/A | 2001

Fuck Bitches, Get Money | Fuck Bitches, Get Money | Ya Boy | Ya Boy | 2009

King Kunta | To Pimp a Butterfly | Kendrick Lamar | Kendrick Lamar | 2015

u | To Pimp a Butterfly | Kendrick Lamar | Kendrick Lamar | 2015

Hood Politics | To Pimp a Butterfly | Kendrick Lamar | Kendrick Lamar | 2015

i | To Pimp a Butterfly | Kendrick Lamar | Kendrick Lamar | 2015

Flip Flop Rock (Feat. Killer Mike & Jay-Z) | Speakerboxxx/The Love Below | Big Boi | N/A | 2003

Roses | Speakerboxxx/The Love Below | Andre 3000 | N/A | 2003

A Life In The Day Of Benjamin Andre | Speakerboxxx/The Love Below | Andre 3000 | N/A | 2003

Blessings (feat. Kanye West and Drake) | Blessings | Big Sean | Big Sean | 2015

Happy Idiot | Seeds | TV on the Radio | TV on the Radio | 2014

Christ Conscious | B4.DA.$$ | Joey Bada$$ | Joey Bada$$ | 2015

Curry Chicken | B4.DA.$$ | Joey Bada$$ | Joey Bada$$ | 2015

Cornfield Chase | Interstellar: Original Motion Picture Soundtrack | Hans Zimmer | N/A | 2014

The Wormhole | Interstellar: Original Motion Picture Soundtrack | Hans Zimmer | N/A | 2014

S.T.A.Y. | Interstellar: Original Motion Picture Soundtrack | Hans Zimmer | N/A | 2014

Holy Ghost | At Long Last A$AP | A$AP Rocky | A$AP Rocky | 2015

Lord Pretty Flacko Jodye 2 (Lpfj2) | At Long Last A$AP | A$AP Rocky | A$AP Rocky | 2015

M'$ (feat. Lil' Wayne) | At Long Last A$AP | A$AP Rocky | A$AP Rocky | 2015

Nothing Came to Me | Surf | Donnie Trumpet & the Social Experiment | Donnie Trumpet & the Social Experiment | 2015

Caretaker | Surf | Donnie Trumpet & the Social Experiment | Donnie Trumpet & the Social Experiment | 2015

Familiar | Surf | Donnie Trumpet & the Social Experiment | Donnie Trumpet & the Social Experiment | 2015

Children's Story | The Great Adventures of Slick Rick | Slick Rick | Slick Rick | 1988

How I Could Just Kill a Man | The Very Best Of Cypress Hill | Cypress Hill | Cypress Hill | 1991

Nuthin' But a 'G' Thang (feat. Snoop Dogg) | The Chronic | Dr. Dre | Dr. Dre | 1992

The Roach [The Chronic Outro] | The Chronic | Dr. Dre | Dr. Dre | 1992

The Next Episode | Chronic 2001 | Dr Dre | Dr Dre | 1999

Shorty Wanna Be a Thug | All Eyez On Me | 2Pac | N/A | 1996

All Eyez on Me (Feat. Syke) | All Eyez On Me | 2Pac | N/A | 1996

Ambitionz Az A Ridah | All Eyez On Me | 2Pac | N/A | 1996

All Bout U (Feat. Snoop Doggy Dogg, Nate Dogg & Dru Down) | All Eyez On Me | 2Pac | N/A | 1996

Only God Can Judge Me (Feat. Rappin' 4-Tay) | All Eyez On Me | 2Pac | N/A | 1996

Best Of Times (Instrumental) | DJ-Kicks: DJ Koze | Strong Arm Steady | Various | 2015

Holiday | DJ-Kicks: DJ Koze | Homeboy Sandman | Various | 2015

Camelblues | DJ-Kicks: DJ Koze | MNDSGN | Various | 2015

In Stride | DJ-Kicks: DJ Koze | Marker Starling | Various | 2015

Huey | I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt | Earl Sweatshirt | Earl Sweatshirt | 2015

AM // Radio (feat. Wiki) | I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt | Earl Sweatshirt | Earl Sweatshirt | 2015

The Graduates | Foil Deer | Speedy Ortiz | Speedy Ortiz | 2015

Gosh | In Colour | Jamie xx | Jamie xx | 2015

The Rest Is Noise | In Colour | Jamie xx | Jamie xx | 2015

I Wish | I Wish | Skee-Lo | Skee-Lo | 1995

Top of the Stairs | I Wish | Skee-Lo | Skee-Lo | 1995

Superman | I Wish | Skee-Lo | Skee-Lo | 1995

Talk About It (feat. King Mez & Justus) | Compton | Dr. Dre | Dr. Dre | 2015

Deep Water (feat. Kendrick Lamar, Justus & Anderson .Paak) | Compton | Dr. Dre | Dr. Dre | 2015

One Shot One Kill (feat. Snoop Dogg) | Compton | Jon Connor | Dr. Dre | 2015

Medicine Man (feat. Eminem, Candice Pillay & Anderson .Paak) | Compton | Dr. Dre | Dr. Dre | 2015

Talking To My Diary | Compton | Dr. Dre | Dr. Dre | 2015

Big Rings | What A Time To Be Alive | Drake & Future | Drake & Future | 2015

I'm the Plug | What A Time To Be Alive | Drake & Future | Drake & Future | 2015

Andy Sux | N/A | N/A | N/A | N/A

